address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),review_count,sentiment_score,popularity_score,food_mentions,ambiance_mentions,authenticity_mentions,service_mentions,value_mentions,food_score,ambiance_score,authenticity_score,service_score,value_for_money_score
"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Jalsa,1,1,4.1,775,"080 42297555
+91 9743772233",Banashankari,Casual Dining,"['Pasta', 'Lunch Buffet', 'Masala Papad', 'Paneer Lajawab', 'Tomato Shorba', 'Dum Biryani', 'Sweet Corn Soup']","['North Indian', 'Mughlai', 'Chinese']",800.0,Buffet,12,0.9060041666666667,0.5721616529050326,20,14,2,12,2,0.7234854166666667,0.813145,0.907675,0.7760857142857143,0.806175
"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,1,0,4.1,787,080 41714161,Banashankari,Casual Dining,"['Momos', 'Lunch Buffet', 'Chocolate Nirvana', 'Thai Green Curry', 'Paneer Tikka', 'Dum Biryani', 'Chicken Biryani']","['Chinese', 'North Indian', 'Thai']",800.0,Buffet,14,0.7919321428571429,0.5734811517417652,27,13,5,15,6,0.7069684523809523,0.76872,0.74788,0.7971045454545456,0.6396083333333333
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,1,0,3.8,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","['Churros', 'Cannelloni', 'Minestrone Soup', 'Hot Chocolate', 'Pink Sauce Pasta', 'Salsa', 'Veg Supreme Pizza']","['Cafe', 'Mexican', 'Italian']",800.0,Buffet,20,0.7564225,0.5437751028341916,33,16,3,18,3,0.5900247395833333,0.5738566666666667,0.5696333333333333,0.6003428571428572,0.5079166666666667
"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,0,0,3.7,88,+91 9620009302,Banashankari,Quick Bites,['Masala Dosa'],"['South Indian', 'North Indian']",300.0,Buffet,35,0.8670685714285714,0.3483038601828546,72,19,13,55,11,0.7008414215686274,0.5933264705882353,0.81688625,0.7171985507246377,0.6469750000000001
"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,0,0,3.8,166,"+91 8026612447
+91 9901210005",Basavanagudi,Casual Dining,"['Panipuri', 'Gol Gappe']","['North Indian', 'Rajasthani']",600.0,Buffet,2,0.9297500000000001,0.4078735028468739,3,1,0,3,1,0.6741375000000001,0.773325,0.5,0.7740499999999999,0.74695
"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,1,0,3.8,286,"+91 9980040002
+91 9980063005",Basavanagudi,Casual Dining,"['Onion Rings', 'Pasta', 'Kadhai Paneer', 'Salads', 'Salad', 'Roti', 'Jeera Rice']",['North Indian'],600.0,Buffet,1,0.86345,0.4510268906619569,2,1,0,1,0,0.5734,0.5,0.5,0.5,0.5
"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,"+91 9731716688
080 26740366",Mysore Road,Casual Dining,[],"['North Indian', 'South Indian', 'Andhra', 'Chinese']",800.0,Buffet,2,0.963625,0.16588957272417124,2,1,0,3,0,0.789525,0.71075,0.5,0.90525,0.5
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,1,1,4.6,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","['Farmhouse Pizza', 'Chocolate Banana', 'Virgin Mojito', 'Pasta', 'Paneer Tikka', 'Lime Soda', 'Prawn Pizza']","['Pizza', 'Cafe', 'Italian']",600.0,Cafes,45,0.9544555555555555,0.7569739431657684,109,49,15,98,5,0.7253795370370371,0.8123698717948717,0.7194533333333333,0.7957106410256409,0.7734300000000001
"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,1,0,4.0,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"['Pizza', 'Mocktails', 'Coffee', 'Nachos', 'Salad', 'Pasta', 'Sandwiches']","['Cafe', 'Italian', 'Continental']",700.0,Cafes,79,0.8159037974683544,0.4851960858584566,162,133,30,82,32,0.651650250533049,0.7309583333333334,0.8278150000000001,0.7068208333333333,0.6832933333333333
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,1,0,4.2,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"['Waffles', 'Pasta', 'Coleslaw Sandwich', 'Choco Waffle', 'Tacos', 'Momos', 'Cheese Nachos']","['Cafe', 'Mexican', 'Italian', 'Momos', 'Beverages']",550.0,Cafes,8,0.8653625,0.5482769370474662,9,1,3,5,6,0.7168861111111111,0.5,0.8343166666666666,0.66313125,0.8449083333333334
"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,"080 26724489
+91 7406048982",Banashankari,Cafe,"['Waffles', 'Pasta', 'Crispy Chicken', 'Honey Chilli Chicken', 'Sandwich', 'Coffee', 'Crepe']",['Cafe'],500.0,Cafes,7,0.8945428571428571,0.5158224805555462,10,9,1,4,1,0.7555229166666666,0.7506375000000001,0.9113,0.7729333333333333,0.6753
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,1,1,4.2,150,+91 9742166777,Banashankari,Cafe,"['Mocktails', 'Peri Fries', 'Lasagne', 'Pizza', 'Chicken Bbq Wings', 'Virgin Mojito', 'Nachos']","['Cafe', 'Italian', 'Continental']",600.0,Cafes,10,0.8530249999999999,0.4419363803062802,22,18,2,11,5,0.7071700000000001,0.8269500000000001,0.83585,0.74108,0.6759
"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,1,1,4.2,164,+91 9731644212,Banashankari,Cafe,"['Coffee', 'Spaghetti', 'Pancakes', 'Nachos', 'Pasta', 'Sandwich', 'Garlic Bread']","['Cafe', 'Chinese', 'Continental', 'Italian']",500.0,Cafes,13,0.862626923076923,0.44974630360847734,25,19,2,14,2,0.7233378846153846,0.7407722222222222,0.719875,0.7432166666666666,0.6531
"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,0,0,4.0,424,080 49577715,Banashankari,Cafe,"['Sandwich', 'Omelette', 'Ice Tea', 'Virgin Mojito', 'Hot Chocolate', 'Pasta Arrabiata', 'Hazelnut Cappuccino']","['Cafe', 'Continental']",450.0,Cafes,12,0.7904500000000001,0.507700333855125,19,17,2,12,2,0.673225,0.6460031481481482,0.6903,0.591896875,0.30805
